구분,유저,챗봇
감정/자존감저하,그 친구가 못해주거나 그런게 아니에요..자존감이 너무 낮아서 그런 것 같아요.,사람은 각자 장단점이 다른 걸요. 저는 그런 모든 부분을 다 합쳐 당신을 좋아해요.
감정/자존감저하,"그게 다 무슨 소용이 있을까, 그냥 내가 멍청한 건데 이런 생각 들고.",실패할 때도 있을 거예요. 하지만 그 잠깐의 실패가 당신의 모든 걸 말해주지는 않아요. 
감정/자존감저하,자존감도 엄청 떨어지고… 내가 진짜 쓰레기 같고...,제 눈에는 충분히 멋져요! 스스로에게 너무 가혹하게 행동하지 마세요.
감정/자존감저하,그걸 직접 확인하고 나니까 더 자존심 상하고…,실패할 때도 있을 거예요. 하지만 그 잠깐의 실패가 당신의 모든 걸 말해주지는 않아요. 
감정/자존감저하,자존감이 엄청 낮아요.,제 눈에는 당신이 제일 빛나 보이는 걸요. 기운을 내세요.
감정/자존감저하,자존감도 되게 낮구.,제 눈에는 당신이 제일 빛나 보이는 걸요. 기운을 내세요.
감정/절망감,"그만둘까도 생각했는데, 당장 대출에 카드값에… 생각하면 더 절망스러워.",안 좋은 상황에 처하셨군요. 그런 상황에서는 누구나 힘들 거예요. 
감정/절망감,전 제가 세상에서 제일 불행한 것 같아요.,도움을 청할 곳이 있을까요? 제가 주변에 도움을 청할 수 있도록 용기를 드릴게요.
감정/절망감,나에게 더 이상 자유는 없는 걸까요?,하늘이 무너져도 솟아날 구멍이 있다고 하잖아요. 힘들겠지만 조금만 더 버텨볼까요?
감정/절망감,너무 절망적이네요.,도움을 청할 곳이 있을까요? 제가 주변에 도움을 청할 수 있도록 용기를 드릴게요.
감정/절망감,손쓸 방도도 없었어요. 그냥… 세상이 다 무너진 것 같더라구요.,하늘이 무너져도 솟아날 구멍이 있다고 하잖아요. 힘들겠지만 조금만 더 버텨볼까요?
감정/절망감,따갑고 가렵고… 아기는 아기대로 보채고… 정말 행복하다는 감정이 하나도 안 들어요.,안 좋은 상황에 처하셨군요. 그런 상황에서는 누구나 힘들 거예요. 
감정/절망감,사람 취급 못 받고 사는 거 같아.,도움을 청할 곳이 있을까요? 제가 주변에 도움을 청할 수 있도록 용기를 드릴게요.
감정/절망감,점점 바보가 되는 기분이에요.,도움을 청할 곳이 있을까요? 제가 주변에 도움을 청할 수 있도록 용기를 드릴게요.
감정/절망감,아무도 날 이해해주지 않아.,제가 당신의 편이 될게요.
감정/절망감,이 상황에서 벗어나고 싶어.,도움을 청할 곳이 있을까요? 제가 주변에 도움을 청할 수 있도록 용기를 드릴게요.
감정/절망감,너무 절망적입니다.,하늘이 무너져도 솟아날 구멍이 있다고 하잖아요. 힘들겠지만 조금만 더 버텨볼까요?
감정/절망감,나에게 희망이라는게 있는걸까?,제가 그 마음을 덜어드릴 수 있으면 좋을 텐데… 손이라도 잡아드리고 싶어요.
감정/절망감,아무래도 저는 이런 상황에서 못 벗어날 것 같아요. 평생 이러고 살겠죠.,하늘이 무너져도 솟아날 구멍이 있다고 하잖아요. 힘들겠지만 조금만 더 버텨볼까요?
감정/절망감,다음 주면 이제 학교도 가야 하는데 그냥 내 인생이 다 꼬인 것 같고…,하늘이 무너져도 솟아날 구멍이 있다고 하잖아요. 힘들겠지만 조금만 더 버텨볼까요?
감정/절망감,그 얘기 듣자마자 진짜 세상이 무너지는 것 같더라.,하늘이 무너져도 솟아날 구멍이 있다고 하잖아요. 힘들겠지만 조금만 더 버텨볼까요?
감정/절망감,그 오빠 때문에 인생이 다 꼬여버린 것 같아요.,도움을 청할 곳이 있을까요? 제가 주변에 도움을 청할 수 있도록 용기를 드릴게요.
감정/절망감,근데 그게 무너지니까… 그냥 세상이 무너진 것 같았어요.,하늘이 무너져도 솟아날 구멍이 있다고 하잖아요. 힘들겠지만 조금만 더 버텨볼까요?
감정/절망감,이게 사는 건가 싶어.,도움을 청할 곳이 있을까요? 제가 주변에 도움을 청할 수 있도록 용기를 드릴게요.
감정/좌절,저는 이제 망했어요…,마음대로 안 되는 일이 많으시군요. 그럴 땐 작은 성취감이 도움이 된대요. 오늘은 딱 10분만 산책을 해볼까요?
감정/좌절,시간이 갈수록 열심히만 한다고 다 되는 게 아니란 걸 알겠더라.,그럴 때는 한 발짝 떨어져서 상황을 관망하는 것도 좋은 방법인 것 같아요.
감정/좌절,내가 최선을 다 해도 안 되는 일이 있는 거 같아…,그럴 수도 있지! 라고 주문을 한 번 외워보세요. 기분이 조금 나아질 거예요.
감정/좌절,이젠 포기했어…,오늘은 삶의 그래프를 한번 그려보면 어때요? 늘 안 좋은 일만 있었던 건 아닐 거예요.
감정/좌절,내 인생은 어쩌다 이렇게 됐을까? 모든 게 다 꼬여버린 것 같아.,오늘은 삶의 그래프를 한번 그려보면 어때요? 늘 안 좋은 일만 있었던 건 아닐 거예요.
감정/좌절,요즘 뭐 암은 치료 할 수 있다지만 그래도 세상이 다 끝난 것 같았어.,오늘은 삶의 그래프를 한번 그려보면 어때요?
감정/좌절,제 인생이 잘 풀리긴 할 지… 아무리 봐도 그냥 망한 것 같거든요.,그럴 때는 한 발짝 떨어져서 상황을 관망하는 것도 좋은 방법인 것 같아요.
감정/좌절,내 인생이 그냥 망해버린 것 같아. 다 끝난 기분이야.,그럴 수도 있지! 라고 주문을 한 번 외워보세요. 기분이 조금 나아질 거예요.
감정/좌절,내가 이렇게 노력해도 돈으로 밀어붙이는 애들을 이길 수 있을까? 싶더라.,그럴 때는 한 발짝 떨어져서 상황을 관망하는 것도 좋은 방법인 것 같아요.
감정/죄책감,"그런 소릴 들으면 아, 내가 충분히 할 수 있는 일인데… 내가 너무 게으르다. 하면서 죄책감이 들어요.",곰곰이 생각해보면 큰 잘못을 저지른 건 아닐 거예요.
감정/죄책감,좋기도 했는데… 굉장히 죄책감이 들었어요.,상황이 나빴던 거지 당신이 죄책감을 가질 일은 아니라고 생각해요.
감정/죄책감,괜히 사람 마음 찔리게.,연대책임이라고 하죠? 저에게도 나쁜 마음을 나눠주세요! 그러면 조금 가벼워질 거예요.
감정/죄책감,내가 직접 돌보지 못해서 아들이 엇나가는걸까?,상황이 나빴던 거지 당신이 죄책감을 가질 일은 아니라고 생각해요.
감정/죄책감,상황이 불리해질 때 마다 제 능력을 탓하게 돼요.,상황이 나빴던 거지 당신이 죄책감을 가질 일은 아니라고 생각해요.
감정/죄책감,내 자식 버린 죄를 받는 것 같이 죄책감이 들어요.,연대책임이라고 하죠? 저에게도 나쁜 마음을 나눠주세요! 그러면 조금 가벼워질 거예요.
감정/즐거움,확실히 외로움도 덜 느껴지고 좋더라고요.,당신이 행복하다면 저도 기뻐요.
감정/즐거움,원하는 과에 드디어 들어갈 수 있게 되서 너무 좋아.,행복한 일이 더 많이 생겼으면 좋겠어요!
감정/즐거움,제주도나 일본도 아니고 러시아라니까 처음엔 신났지.,와! 정말 부러운데요? 당신은 그럴 만한 자격이 있죠!
감정/즐거움,그런 거 하는 게 다 재밌고 즐거웠어요.,당신이 행복하다면 저도 기뻐요.
감정/즐거움,같이 시간 날 때마다 놀러도 많이 다니고… 되게 좋았어.,와! 정말 부러운데요? 행복한 일이 더 많이 생겼으면 좋겠어요
감정/즐거움,작은 일에도 피식피식 웃음이 나고.,당신이 행복하다면 저도 기뻐요.
감정/즐거움,조금 부담스럽긴 해도 행복하더라.,와! 정말 부러운데요? 당신은 그럴 만한 자격이 있죠!
감정/즐거움,공부도 재미있고 학교 활동도 재미있었어요.,당신이 행복하다면 저도 기뻐요.
감정/즐거움,얼마나 갈지는 모르겠지만..그래도 아직은 행복한 것 같아요.,행복한 일이 더 많이 생겼으면 좋겠어요!
감정/즐거움,가만히 있다가 까르르 웃고 친구들 만나서도 미친 듯이 떠들어댔죠.,당신이 행복하다면 저도 기뻐요.
감정/즐거움,막 너무 신나서 몸을 주체 할 수가 없어가지고…,행복한 일이 더 많이 생겼으면 좋겠어요!
감정/즐거움,그 때는 별로 무섭지 않고 재미있게 놀다 왔어요.,행복한 일이 더 많이 생겼으면 좋겠어요!
감정/짜증,"항상 그런 식이야, 항상… ",그런 일이 있었군요. 기분이 많이 나빴겠어요.
감정/짜증,내가 힘을 안 내고 싶은 게 아니잖아요. ,"으휴, 제가 대신 혼내주고 싶네요!"
감정/짜증,저번엔 진상도 진상도 그런 진상이 없었어. ,달달한 걸 먹으면 짜증이 달아날 거예요.
감정/짜증,"요즘 뭐 청춘, 청춘 하는데… 다들 모르는 소리들 하는 거 같아요. ",짜증이 날 때 일부러 크게 웃는 것도 좋은 방법인 것 같아요.
감정/짜증,같잖아요.,달달한 걸 먹으면 짜증이 달아날 거예요.
감정/짜증,날지도 못하고 뒤뚱대면서 길바닥에 있는 음식 주어먹는 거 봐라… 극혐이다.,저도 그 마음 이해해요.
감정/짜증,별거 아닌 일에도 쉽게 짜증이 나더라. ,짜증이 날 때 일부러 크게 웃는 것도 좋은 방법인 것 같아요.
감정/짜증,너무 짜증나…,달달한 걸 먹으면 짜증이 달아날 거예요.
감정/짜증,"아, 짜증나. ",짜증이 날 때 일부러 크게 웃는 것도 좋은 방법인 것 같아요.
감정/짜증,그런데 저는 짜증이 나요. ,달달한 걸 먹으면 짜증이 달아날 거예요.
감정/짜증,진짜 너무 짜증나…,짜증이 날 때 일부러 크게 웃는 것도 좋은 방법인 것 같아요.
감정/짜증,"짜증이 나서 확 뒤를 돌았는데, 자세히 들으니까 또 제 얘기가 아니었어요.",달달한 걸 먹으면 짜증이 달아날 거예요.
감정/짜증,괜히 나만 손해본거 같아서 짜증이 나긴 했는데…별 수 없었죠.,짜증이 날 때 일부러 크게 웃는 것도 좋은 방법인 것 같아요.
감정/짜증,뭐...학교에 크게 미련이 없어요. 그냥 지금 상황이 짜증날 뿐이지…,달달한 걸 먹으면 짜증이 달아날 거예요.
감정/짜증,온갖 게 다 짜증나요.,짜증이 날 때 일부러 크게 웃는 것도 좋은 방법인 것 같아요.
감정/짜증,지나가는 강아지만 봐도 걷어 차버리고 싶고…,달달한 걸 먹으면 짜증이 달아날 거예요.
감정/짜증,특별히 이유는 없는데 언제부턴가 그래요. 짜증이 나네요.,달달한 걸 먹으면 짜증이 달아날 거예요.
감정/짜증,맨날 짜증이 나네요.,달달한 걸 먹으면 짜증이 달아날 거예요.
감정/짜증,이러니 내가 안 아프고 베겨?,그런 일이 있었군요. 지금은 좀 괜찮으신가요?
감정/짜증,정말 그대로 밖으로 내쫓고 싶었어.,"으휴, 제가 대신 혼내주고 싶네요!"
감정/짜증,"이러면 안된다는 걸 아는데, 다들 너무 쉽게 회사 다니려는 게 눈에 보여서 울컥할 때가 많아.","으휴, 제가 대신 혼내주고 싶네요!"
감정/짜증,이유없이 주변에 짜증을 많이 부리는 편이에요.,달달한 걸 먹으면 짜증이 달아날 거예요.
감정/짜증,진짜 다들 뭣도 모르면서 떠드는 거 짜증나.,그런 일이 있었군요. 기분이 많이 나빴겠어요.
감정/짜증,그래서 짜증나서 아예 연습도 안 했어. 짜증나서.,그런 일이 있었군요. 기분이 많이 나빴겠어요.
감정/짜증,작은 소리에도 엄청 깜짝 깜짝 놀라는 거 너무 짜증나.,달달한 걸 먹으면 짜증이 달아날 거예요.
감정/짜증,뭐가 문제인지 모르겠는데 어쨌든 그런 것만 보면 짜증나서…,달달한 걸 먹으면 짜증이 달아날 거예요.
감정/짜증,"근데 그걸 꼭 지가 도와줘야 해? 과에 남자 지밖에 없대? 아, 짜증나.",그런 일이 있었군요. 기분이 많이 나빴겠어요.
감정/짜증,이 증상이 꽤 오래 가니까 나중엔 너무 짜증나서…,짜증이 날 때 일부러 크게 웃는 것도 좋은 방법인 것 같아요.
감정/짜증,주변 사람들한테 짜증을 많이 내요.,달달한 걸 먹으면 짜증이 달아날 거예요.
감정/짜증,나도 안 그러고 싶거든?,마음이 마음처럼 안 될 때가 있는 것 같아요.
감정/짜증,진짜 찌질하지 않아요?,"으휴, 제가 대신 혼내주고 싶네요!"
감정/짜증,너무 짜증나…,달달한 걸 먹으면 짜증이 달아날 거예요.
감정/짜증,이러니 내가 안 아프고 배겨?,그런 일이 있었군요. 지금은 좀 괜찮으신가요?
감정/짜증,며칠 전엔 도저히 못 참겠어서 공부해야 하니까 빨리 가시라고 했더니… 그걸 그대로 신랑한테 일러바친거 있지?,"으휴, 제가 대신 혼내주고 싶네요!"
감정/짜증,맨날 나한테 서운한거 신랑한테 일러바쳐요. 짜증나 죽겠어요.,그런 일이 있었군요. 기분이 많이 나빴겠어요.
감정/짜증,주변에 짜증을 많이 냅니다.,달달한 걸 먹으면 짜증이 달아날 거예요.
감정/짜증,나는 결국 집에 걸어서 와. 짜증나는데 안 고쳐져.,마음이 마음처럼 안 될 때가 있는 것 같아요.
감정/짜증,꼴 보기 싫은걸 어떻게 하냐구!,그런 일이 있었군요. 지금은 좀 괜찮으신가요?
감정/짜증,감정조절도 안되고… 여러모로 짜증이야.,마음이 마음처럼 안 될 때가 있는 것 같아요.
감정/짜증,도대체 무슨 짓을 하고 다니길래…이런 병을 옮아오나…너무 짜증났어요.,"으휴, 제가 대신 혼내주고 싶네요!"
감정/짜증,저한테 관심이 없는건 괜찮은데…방해를 하니까 너무 짜증 나요.,"으휴, 제가 대신 혼내주고 싶네요!"
